パンを焼く,tfidf
パン,0.6359590715204667
焼く,0.5020729512003684
見習い,0.17851482709346436
錬金術,0.17851482709346436
のんびり,0.16177906205345205
工房,0.16177906205345205
採取,0.16177906205345205
酵母,0.1562004737067813
生活,0.13691570146442192
織部,0.12272894362675674
中古,0.0951766533971153
単行,0.06639233656134311
ジャン,0.06136447181337837
ソマリ,0.06136447181337837
フランソワ,0.06136447181337837
マリ,0.06136447181337837
ミレー,0.06136447181337837
油絵,0.06136447181337837
絵画,0.06136447181337837
複製,0.06136447181337837
もっと,0.056907717052579805
国産,0.05578588346670761
小麦,0.05578588346670761
サイズ,0.05164212661706411
ぁん,0.05020729512003685
おいしい,0.05020729512003685
ヨーグルト,0.05020729512003685
協会,0.05020729512003685
味わい深い,0.05020729512003685
文化,0.05020729512003685
漁村,0.05020729512003685
竹野,0.05020729512003685
豊子,0.05020729512003685
農山,0.05020729512003685
発酵,0.042680787789434856
無料,0.04066372140401809
送料,0.04066372140401809
アリ,0.03905011842669533
アン,0.03905011842669533
バーミキュラ,0.03905011842669533
パリパリ,0.03905011842669533
失敗,0.03905011842669533
知らず,0.03905011842669533
額縁,0.03905011842669533
mm,0.03734064585393324
自然,0.03734064585393324
こだま,0.03347153008002456
ごはん,0.03347153008002456
せつ子,0.03347153008002456
にんじん,0.03347153008002456
ふんわり,0.03347153008002456
やわらか,0.03347153008002456
堀田,0.03347153008002456
大塚,0.03347153008002456
宥厳,0.03347153008002456
山内,0.03347153008002456
白神,0.03347153008002456
銅板,0.03347153008002456
しっとり,0.033196168280671554
ローズ,0.033196168280671554
インテリア,0.03319168520349622
入り,0.03319168520349622
壁掛け,0.03319168520349622
以上,0.02981413852333126
天然,0.028453858526289903
長い,0.028453858526289903
油彩,0.027892941733353806
afb,0.024893763902622167
メール,0.024473996587829647
3000,0.023711548771908255
合計,0.023711548771908255
530,0.022314353386683045
727,0.022314353386683045
おいしく,0.022314353386683045
りんご,0.022314353386683045
クープ,0.022314353386683045
ノベル,0.022314353386683045
レシピ,0.022314353386683045
焼ける,0.022314353386683045
農文協,0.022314353386683045
雅子,0.022314353386683045
雑誌,0.022314353386683045
高橋,0.022314353386683045
選べる,0.02213233997874176
ネコポス,0.020744803252185137
書籍,0.020744803252185137
安全,0.0189692390175266
宅配,0.018443616648951465
606,0.01673576504001228
オーブン,0.01673576504001228
デニッシュ,0.01673576504001228
フロンティア,0.01673576504001228
ワークス,0.01673576504001228
主婦,0.01673576504001228
主婦の友社,0.01673576504001228
久美,0.01673576504001228
塚本,0.01673576504001228
文庫,0.01673576504001228
講談社,0.01673576504001228
1000,0.01659584260174811
ゆう,0.01659584260174811
出荷,0.01656341029073959
20,0.014754893319161173
カバー,0.014754893319161173
著者,0.014226929263144951
15,0.013250728232591671
ソフト,0.013250728232591671
対応,0.01238201732929404
発送,0.01238201732929404
30,0.0119789747726914
新品,0.0119789747726914
あす,0.011295478167782801
455,0.011157176693341523
652,0.011157176693341523
hi,0.011157176693341523
mugi,0.011157176693341523
おり,0.011157176693341523
りん,0.011157176693341523
イラスト,0.011157176693341523
キャンバス,0.011157176693341523
サクッ,0.011157176693341523
ショップ,0.011157176693341523
トースター,0.011157176693341523
丹波,0.011157176693341523
作り,0.011157176693341523
全巻,0.011157176693341523
割れ,0.011157176693341523
取れ,0.011157176693341523
山奥,0.011157176693341523
年齢,0.011157176693341523
生まれ,0.011157176693341523
豪華,0.011157176693341523
開か,0.011157176693341523
飾れる,0.011157176693341523
魔法,0.011157176693341523
90,0.01106616998937088
ライト,0.010877331816813177
10,0.009905613863435232
910,0.0094846195087633
その他,0.0094846195087633
ステンレス,0.0094846195087633
向け,0.0094846195087633
家庭,0.0094846195087633
シリーズ,0.00898423107951855
ハード,0.008297921300874055
予約,0.008297921300874055
すぐ,0.0073774466595805865
女性,0.0073774466595805865
セット,0.006777286900669682
限定,0.0059894873863457
kumi,0.005578588346670761
marna,0.005578588346670761
tsukamoto,0.005578588346670761
お家,0.005578588346670761
くるみ,0.005578588346670761
めずらしい,0.005578588346670761
アップルデニッシュ,0.005578588346670761
クス,0.005578588346670761
チョコデニッシュ,0.005578588346670761
トーストスチーマー,0.005578588346670761
ハムデニッシュ,0.005578588346670761
フランス,0.005578588346670761
フロンティアワ,0.005578588346670761
マーナ,0.005578588346670761
人生,0.005578588346670761
冷凍,0.005578588346670761
動画,0.005578588346670761
四季,0.005578588346670761
毎日,0.005578588346670761
熟成,0.005578588346670761
理由,0.005578588346670761
生地,0.005578588346670761
百合子,0.005578588346670761
相田,0.005578588346670761
紹介,0.005578588346670761
美味しく,0.005578588346670761
自家製,0.005578588346670761
連結,0.005578588346670761
道具,0.005578588346670761
食べ,0.005578588346670761
食材,0.005578588346670761
12,0.005438665908406588
付き,0.004952806931717616
270,0.00474230975438165
70,0.00474230975438165
ムック,0.00474230975438165
世界,0.00474230975438165
旅行,0.00474230975438165
500,0.004148960650437027
シンプル,0.004148960650437027
種類,0.004148960650437027
電子,0.004148960650437027
プロ,0.0036887233297902933
00,0.0
000,0.0
00029,0.0
001,0.0
003,0.0
005,0.0
00987602,0.0
01,0.0
01489,0.0
