パンを焼く,tfidf
ep,0.6352278060598902
ic,0.3584246280002732
cl,0.28035193675268893
エプソン,0.26615690198040093
インク,0.2533743823716526
epson,0.19873048681203268
カートリッジ,0.17743793465360058
70,0.15083845518145844
互換,0.1267043023524251
増量,0.1206577955644484
50,0.11876924173671215
aw,0.11001151948523238
ith,0.09936524340601634
純正,0.0965366113161334
80,0.09620820088301811
ab,0.06742641516836823
プリンター,0.06387765647529621
lc,0.0603288977822242
パック,0.058663537123791534
icbk,0.05678013908915219
インクジェット,0.04968262170300817
セット,0.04742427607228401
bci,0.04613386300993615
icy,0.04613386300993615
pm,0.04613386300993615
810,0.042585104316864145
px,0.042585104316864145
804,0.03903634562379213
対応,0.03780809529965671
ブラック,0.03582455719111849
803,0.03548758693072012
icm,0.03548758693072012
無料,0.033053283323107044
送料,0.033053283323107044
807,0.031938828237648105
811,0.031938828237648105
icc,0.031938828237648105
カラ,0.031938828237648105
リオ,0.031938828237648105
bk,0.02903248131341853
808,0.028390069544576096
colorio,0.028390069544576096
pk,0.028390069544576096
sat,0.028390069544576096
yth,0.028390069544576096
選択,0.028390069544576096
709,0.024841310851504084
ar,0.024841310851504084
kui,0.024841310851504084
プリンタ,0.024841310851504084
自由,0.024841310851504084
69,0.021292552158432072
704,0.021292552158432072
711,0.021292552158432072
74,0.021292552158432072
iclc,0.021292552158432072
iclm,0.021292552158432072
va,0.021292552158432072
710,0.02111738372540418
イエロー,0.018100614621775014
302,0.01774379346536006
705,0.01774379346536006
801,0.01774379346536006
802,0.01774379346536006
805,0.01774379346536006
901,0.01774379346536006
ew,0.01774379346536006
pcp,0.01774379346536006
rb,0.01774379346536006
rdh,0.01774379346536006
イチョウ,0.01774379346536006
シアン,0.01774379346536006
永久,0.01774379346536006
表示,0.01774379346536006
複合,0.01774379346536006
メール,0.017298742730040836
タイプ,0.016858615148761642
840,0.015083845518145846
mug,0.015083845518145846
保証,0.014751288255166436
105,0.014195034772288048
4004,0.014195034772288048
62,0.014195034772288048
703,0.014195034772288048
777,0.014195034772288048
820,0.014195034772288048
lan,0.014195034772288048
さくらんぼ,0.014195034772288048
クマ,0.014195034772288048
ノミ,0.014195034772288048
マゼンタ,0.014195034772288048
福袋,0.014195034772288048
期間,0.012067076414516676
機種,0.012067076414516676
シリーズ,0.01143044303064109
限定,0.01143044303064109
702,0.010646276079216036
707,0.010646276079216036
708,0.010646276079216036
806,0.010646276079216036
lm,0.010646276079216036
とうもろこし,0.010646276079216036
タンク,0.010646276079216036
チップ,0.010646276079216036
ヨット,0.010646276079216036
顔料,0.010646276079216036
ネコポス,0.010557265932152192
無線,0.010557265932152192
あす,0.010059694924423884
usb,0.009386165939806646
単品,0.009386165939806646
搭載,0.009386165939806646
ビジネス,0.009050307310887507
マグカップ,0.009050307310887507
有線,0.009050307310887507
エコ,0.007917949449114144
ホワイト,0.0076202953537607265
052,0.007097517386144024
301,0.007097517386144024
306,0.007097517386144024
320,0.007097517386144024
321,0.007097517386144024
325,0.007097517386144024
326,0.007097517386144024
351,0.007097517386144024
4100,0.007097517386144024
4500,0.007097517386144024
